COURSE,PREREQ1,CO/PRE,AND/OR,PREREQ2,CO/PRE,AND/OR,PREREQ3,CO/PRE,AND/OR,PREREQ4,CO/PRE
INSTR F423,EEE F214,PRE,OR,INSTR F214,PRE,OR,ECE F214,PRE,, ,
INSTR F424,EEE F242,PRE,OR,INSTR F242,PRE,OR,ECE F242,PRE,, ,
INSTR F432, ,,, ,,, ,,, ,
INSTR F473, ,,, ,,, ,,, ,
IS F211,IS F222,PRE,, ,,, ,,, ,
IS F213,CS F111,PRE,, ,,, ,,, ,
IS F214, ,,, ,,, ,,, ,
IS F222, ,,, ,,, ,,, ,
IS F241,EEE F111,PRE,, ,,, ,,, ,
IS F242,IS F241,PRE,, ,,, ,,, ,
IS F243, ,,, ,,, ,,, ,
IS F301,IS F211,PRE,, ,,, ,,, ,
IS F303,IS F372,PRE,, ,,, ,,, ,
IS F311, ,,, ,,, ,,, ,
IS F322,IS F341,PRE,, ,,, ,,, ,
IS F341,IS F213,PRE,, ,,, ,,, ,
IS F342,IS F301,PRE,, ,,, ,,, ,
IS F372, ,,, ,,, ,,, ,
IS F462, ,,, ,,, ,,, ,
MATH F111, ,,, ,,, ,,, ,
MATH F112, ,,, ,,, ,,, ,
MATH F113, ,,, ,,, ,,, ,
MATH F211, ,,, ,,, ,,, ,
MATH F212,MATH F111,PRE,AND,MATH F112,PRE,, ,,, ,
MATH F213, ,,, ,,, ,,, ,
MATH F214, ,,, ,,, ,,, ,
MATH F215, ,,, ,,, ,,, ,
MATH F231, ,,, ,,, ,,, ,
MATH F241, ,,, ,,, ,,, ,
MATH F242,MATH F113,PRE,, ,,, ,,, ,
MATH F243, ,,, ,,, ,,, ,
MATH F244,MATH F214,PRE,, ,,, ,,, ,
MATH F311, ,,, ,,, ,,, ,
MATH F312,MATH F211,PRE,, ,,, ,,, ,
MATH F313,MATH F111,PRE,AND,MATH F112,PRE,, ,,, ,
MATH F314,MATH F215,PRE,, ,,, ,,, ,
MATH F341,MATH F214,PRE,, ,,, ,,, ,
MATH F342,MATH F214,PRE,, ,,, ,,, ,
MATH F343,MATH F211,PRE,, ,,, ,,, ,
MATH F344,MATH F111,PRE,AND,MATH F112,PRE,AND,MATH F211,PRE,, ,
MATH F353,MATH F113,PRE,, ,,, ,,, ,
MATH F354,MATH F112,PRE,, ,,, ,,, ,
MATH F378,MATH F113,PRE,AND,MATH F244,PRE,, ,,, ,
MATH F420,MATH F211,PRE,, ,,, ,,, ,
MATH F421, ,,, ,,, ,,, ,
MATH F422,MATH F211,PRE,AND,MATH F313,PRE,, ,,, ,
MATH F423,MATH F215,PRE,AND,MATH F311,PRE,, ,,, ,
MATH F424,MATH F113,PRE,, ,,, ,,, ,
MATH F425,MATH F112,PRE,, ,,, ,,, ,
